dataset,experiment,instance_auroc_Mean,instance_auroc_bottle,instance_auroc_cable,instance_auroc_candle,instance_auroc_capsule,instance_auroc_capsules,instance_auroc_carpet,instance_auroc_cashew,instance_auroc_chewinggum,instance_auroc_fryum,instance_auroc_grid,instance_auroc_hazelnut,instance_auroc_leather,instance_auroc_macaroni1,instance_auroc_macaroni2,instance_auroc_metal_nut,instance_auroc_pcb1,instance_auroc_pcb2,instance_auroc_pcb3,instance_auroc_pcb4,instance_auroc_pill,instance_auroc_pipe_fryum,instance_auroc_screw,instance_auroc_tile,instance_auroc_toothbrush,instance_auroc_transistor,instance_auroc_wood,instance_auroc_zipper,full_pixel_auroc_Mean,full_pixel_auroc_bottle,full_pixel_auroc_cable,full_pixel_auroc_candle,full_pixel_auroc_capsule,full_pixel_auroc_capsules,full_pixel_auroc_carpet,full_pixel_auroc_cashew,full_pixel_auroc_chewinggum,full_pixel_auroc_fryum,full_pixel_auroc_grid,full_pixel_auroc_hazelnut,full_pixel_auroc_leather,full_pixel_auroc_macaroni1,full_pixel_auroc_macaroni2,full_pixel_auroc_metal_nut,full_pixel_auroc_pcb1,full_pixel_auroc_pcb2,full_pixel_auroc_pcb3,full_pixel_auroc_pcb4,full_pixel_auroc_pill,full_pixel_auroc_pipe_fryum,full_pixel_auroc_screw,full_pixel_auroc_tile,full_pixel_auroc_toothbrush,full_pixel_auroc_transistor,full_pixel_auroc_wood,full_pixel_auroc_zipper,anomaly_pixel_auroc_Mean,anomaly_pixel_auroc_bottle,anomaly_pixel_auroc_cable,anomaly_pixel_auroc_candle,anomaly_pixel_auroc_capsule,anomaly_pixel_auroc_capsules,anomaly_pixel_auroc_carpet,anomaly_pixel_auroc_cashew,anomaly_pixel_auroc_chewinggum,anomaly_pixel_auroc_fryum,anomaly_pixel_auroc_grid,anomaly_pixel_auroc_hazelnut,anomaly_pixel_auroc_leather,anomaly_pixel_auroc_macaroni1,anomaly_pixel_auroc_macaroni2,anomaly_pixel_auroc_metal_nut,anomaly_pixel_auroc_pcb1,anomaly_pixel_auroc_pcb2,anomaly_pixel_auroc_pcb3,anomaly_pixel_auroc_pcb4,anomaly_pixel_auroc_pill,anomaly_pixel_auroc_pipe_fryum,anomaly_pixel_auroc_screw,anomaly_pixel_auroc_tile,anomaly_pixel_auroc_toothbrush,anomaly_pixel_auroc_transistor,anomaly_pixel_auroc_wood,anomaly_pixel_auroc_zipper
VisA,IM448_DINOv2B14reg_L3-11_P01_D768-768_PS-1_AN-3_S0,0.946846,,,0.946735,,0.967282,,0.960309,0.975698,0.959072,,,,0.948594,0.796053,,0.970047,0.934886,0.978765,0.937015,,0.987700,,,,,,,0.973344,,,0.983281,,0.990938,,0.996297,0.987121,0.924483,,,,0.993423,0.963769,,0.995414,0.964952,0.977817,0.910532,,0.992104,,,,,,,0.961644,,,0.974870,,0.982742,,0.993160,0.980325,0.894753,,,,0.989289,0.965275,,0.991001,0.953942,0.966011,0.863791,,0.984572,,,,,,
VisA,IM448_DINOv2B14reg_L7-11_P01_D768-768_PS-1_AN-3_S0,0.946003,,,0.949541,,0.956413,,0.962577,0.977998,0.956495,,,,0.947188,0.796754,,0.967944,0.932043,0.982413,0.935274,,0.987400,,,,,,,0.973335,,,0.983513,,0.991660,,0.996320,0.986554,0.925766,,,,0.993639,0.960867,,0.995414,0.965749,0.977801,0.910517,,0.992225,,,,,,,0.961825,,,0.975119,,0.984055,,0.993208,0.979883,0.896185,,,,0.989654,0.962940,,0.991097,0.954907,0.966087,0.863968,,0.984795,,,,,,
VisA,IM448_DINOv2B14reg_L5-11_P01_D768-768_PS-1_AN-1_S0,0.945665,,,0.947500,,0.959017,,0.958660,0.976598,0.957835,,,,0.948125,0.796754,,0.968252,0.933547,0.978765,0.935522,,0.987400,,,,,,,0.972990,,,0.983415,,0.991251,,0.996266,0.987359,0.925261,,,,0.993048,0.958770,,0.995332,0.965545,0.977690,0.909883,,0.992062,,,,,,,0.961478,,,0.974976,,0.983447,,0.993150,0.980608,0.896265,,,,0.988840,0.961004,,0.990799,0.954859,0.966077,0.863200,,0.984508,,,,,,
VisA,IM448_DINOv2B14reg_L5-11_P01_D768-768_PS-1_AN-3_S0,0.945665,,,0.947500,,0.959017,,0.958660,0.976598,0.957835,,,,0.948125,0.796754,,0.968252,0.933547,0.978765,0.935522,,0.987400,,,,,,,0.972990,,,0.983415,,0.991251,,0.996266,0.987359,0.925261,,,,0.993048,0.958770,,0.995332,0.965545,0.977690,0.909883,,0.992062,,,,,,,0.961478,,,0.974976,,0.983447,,0.993150,0.980608,0.896265,,,,0.988840,0.961004,,0.990799,0.954859,0.966077,0.863200,,0.984508,,,,,,
VisA,IM448_DINOv2B14reg_L5-11_P01_D768-768_PS-1_AN-5_S0,0.945665,,,0.947500,,0.959017,,0.958660,0.976598,0.957835,,,,0.948125,0.796754,,0.968252,0.933547,0.978765,0.935522,,0.987400,,,,,,,0.972990,,,0.983415,,0.991251,,0.996266,0.987359,0.925261,,,,0.993048,0.958770,,0.995332,0.965545,0.977690,0.909883,,0.992062,,,,,,,0.961478,,,0.974976,,0.983447,,0.993150,0.980608,0.896265,,,,0.988840,0.961004,,0.990799,0.954859,0.966077,0.863200,,0.984508,,,,,,
VisA,IM448_DINOv2B14reg_L8-11_P01_D768-768_PS-1_AN-3_S0,0.945549,,,0.948776,,0.959017,,0.957835,0.977698,0.957113,,,,0.950104,0.789474,,0.971585,0.929911,0.979807,0.937065,,0.988200,,,,,,,0.973848,,,0.984244,,0.990380,,0.996205,0.986856,0.925249,,,,0.993059,0.966215,,0.995290,0.965890,0.978129,0.912399,,0.992256,,,,,,,0.962463,,,0.976061,,0.983202,,0.993069,0.980147,0.896700,,,,0.988956,0.967222,,0.990936,0.955271,0.966587,0.866554,,0.984849,,,,,,
VisA,IM224_WR50_L2-3_P01_D1024-1024_PS-3_AN-1_S0_premodification,0.945496,,,0.981400,,0.790164,,0.948800,0.988824,0.968600,,,,0.957400,0.760700,,0.991980,0.978416,0.987921,0.994752,,0.997000,,,,,,,0.981553,,,0.991193,,0.989887,,0.981225,0.983598,0.923976,,,,0.993703,0.979472,,0.996284,0.985873,0.990008,0.974274,,0.989142,,,,,,,0.973813,,,0.984626,,0.987910,,0.976344,0.976992,0.906646,,,,0.990612,0.975883,,0.993523,0.972930,0.981274,0.954725,,0.984291,,,,,,
VisA,[DINOv2B_VisA_Pilot] IM448_DINOv2B14reg_L3-4-6-10_P006_D768-768_PS-1_AN-5_S0,0.944773,,,0.945306,,0.935016,,0.893918,0.995500,0.964330,,,,0.943490,0.776316,,0.981279,0.966322,0.991271,0.964129,,0.980400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VisA,[DINOv2B_VisA_Pilot] IM448_DINOv2B14reg_L4-6-8_P001_D768-768_PS-3_AN-3_S0,0.933326,,,0.961020,,0.899581,,0.952784,0.989599,0.947010,,,,0.889479,0.737982,,0.942453,0.924553,0.983911,0.993035,,0.978500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VisA,IM448_DINOv2L14reg_L7-14-23_P005_D1024-1024_PS-1_AN-3_S0,0.929809,,,0.927959,,0.923016,,0.898351,0.979898,0.938969,,,,0.978177,0.709474,,0.957840,0.938057,0.976225,0.950647,,0.979100,,,,,,,0.964367,,,0.984647,,0.966339,,0.986929,0.989252,0.910554,,,,0.995748,0.909436,,0.989464,0.945783,0.980333,0.926840,,0.987080,,,,,,,0.954405,,,0.977255,,0.958633,,0.980987,0.984516,0.880710,,,,0.992935,0.919925,,0.983416,0.937456,0.971373,0.888120,,0.977532,,,,,,
